"","LOCATION","Country","FAMILY","Family.type","DURATION","Unemployment.duration..months.","EARNINGS","Previous.in.work.earnings","SATOPUPS","Include.social.assistance.benefits","HBTOPUPS","Include.housing.benefits","TIME","Year","Value","Flag.Codes","Flags"
"157","FRA","France","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2022,2022,68,NA,NA
"158","FRA","France","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2023,2023,68,NA,NA
"159","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2001,2001,61,NA,NA
"160","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2002,2002,61,NA,NA
"161","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2003,2003,61,NA,NA
"162","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2004,2004,61,NA,NA
"163","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2005,2005,61,NA,NA
"164","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2006,2006,62,NA,NA
"165","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2007,2007,61,NA,NA
"166","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2008,2008,60,NA,NA
"167","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2009,2009,61,NA,NA
"168","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2010,2010,60,NA,NA
"169","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2011,2011,59,NA,NA
"170","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2012,2012,59,NA,NA
"171","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2013,2013,59,NA,NA
"172","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2014,2014,59,NA,NA
"173","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2015,2015,59,NA,NA
"174","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2016,2016,59,NA,NA
"175","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2017,2017,59,NA,NA
"176","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2018,2018,59,NA,NA
"177","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2019,2019,59,NA,NA
"178","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2020,2020,59,NA,NA
"179","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2021,2021,59,NA,NA
"180","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2022,2022,59,NA,NA
"181","DEU","Germany","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2023,2023,59,NA,NA
"182","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2001,2001,39,NA,NA
"183","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2002,2002,38,NA,NA
"184","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2003,2003,41,NA,NA
"185","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2004,2004,36,NA,NA
"186","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2005,2005,39,NA,NA
"187","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2006,2006,39,NA,NA
"188","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2007,2007,42,NA,NA
"189","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2008,2008,50,NA,NA
"190","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2009,2009,49,NA,NA
"191","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2010,2010,36,NA,NA
"192","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2011,2011,35,NA,NA
"193","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2012,2012,28,NA,NA
"194","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2013,2013,31,NA,NA
"195","GRC","Greece","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2014,2014,30,NA,NA
